Episode#,Alpha,Beta,Epsilon,Reward,Time
1,0.1,0.8,0.9,1800,0:00:13
2,0.1,0.8,0.9,2100,0:00:47
3,0.1,0.8,0.9,-1000,0:00:55
4,0.1,0.8,0.9,550,0:01:01
5,0.1,0.8,0.9,-450,0:01:07
6,0.1,0.8,0.89,1000,0:01:17
7,0.1,0.8,0.89,1900,0:01:46
8,0.1,0.8,0.89,-1300,0:02:13
9,0.1,0.8,0.89,2700,0:02:32
10,0.1,0.8,0.89,950,0:02:47
11,0.1,0.8,0.89,-350,0:02:52
12,0.1,0.8,0.89,-5750,0:03:19
13,0.1,0.8,0.89,2500,0:04:01
14,0.1,0.8,0.89,750,0:04:17
15,0.1,0.8,0.89,-550,0:04:22
16,0.1,0.8,0.89,2600,0:04:48
17,0.1,0.8,0.88,-800,0:05:31
18,0.1,0.8,0.88,-7600,0:06:13
19,0.1,0.8,0.88,4100,0:06:55
20,0.1,0.8,0.88,6300,0:07:37
21,0.1,0.8,0.88,-1950,0:08:00
22,0.1,0.8,0.88,-2750,0:08:42
23,0.1,0.8,0.88,-1050,0:09:17
24,0.1,0.8,0.88,850,0:09:29
25,0.1,0.8,0.88,-800,0:09:55
26,0.1,0.8,0.88,-1050,0:09:58
27,0.1,0.8,0.88,1050,0:10:17
28,0.1,0.8,0.88,2650,0:10:40
29,0.1,0.8,0.87,350,0:10:46
30,0.1,0.8,0.87,1650,0:11:11
31,0.1,0.8,0.87,2750,0:11:52
32,0.1,0.8,0.87,600,0:12:07
33,0.1,0.8,0.87,2500,0:12:35
34,0.1,0.8,0.87,150,0:12:47
35,0.1,0.8,0.87,0,0:12:56
36,0.1,0.8,0.87,350,0:13:09
37,0.1,0.8,0.87,-600,0:13:51
38,0.1,0.8,0.87,6200,0:14:33
39,0.1,0.8,0.87,3700,0:15:14
40,0.1,0.8,0.86,-800,0:15:57
41,0.1,0.8,0.86,1550,0:16:12
42,0.1,0.8,0.86,-150,0:16:18
43,0.1,0.8,0.86,-1350,0:16:48
44,0.1,0.8,0.86,4000,0:17:30
45,0.1,0.8,0.86,50,0:17:50
46,0.1,0.8,0.86,750,0:18:06
47,0.1,0.8,0.86,300,0:18:13
48,0.1,0.8,0.86,3000,0:18:55
49,0.1,0.8,0.86,5200,0:19:36
50,0.1,0.8,0.86,2600,0:20:09
51,0.1,0.8,0.86,1250,0:20:27
52,0.1,0.8,0.85,1950,0:20:42
53,0.1,0.8,0.85,-8400,0:21:24
54,0.1,0.8,0.85,3650,0:22:06
55,0.1,0.8,0.85,350,0:22:15
56,0.1,0.8,0.85,5550,0:22:55
57,0.1,0.8,0.85,-6200,0:23:35
58,0.1,0.8,0.85,2350,0:23:51
59,0.1,0.8,0.85,550,0:24:06
60,0.1,0.8,0.85,-1400,0:24:22
61,0.1,0.8,0.85,-200,0:24:41
62,0.1,0.8,0.85,0,0:24:52
63,0.1,0.8,0.85,2550,0:25:20
64,0.1,0.8,0.84,2350,0:25:37
65,0.1,0.8,0.84,1050,0:25:59
66,0.1,0.8,0.84,3750,0:26:42
67,0.1,0.8,0.84,4350,0:27:25
68,0.1,0.8,0.84,-600,0:27:28
69,0.1,0.8,0.84,350,0:27:38
70,0.1,0.8,0.84,-600,0:27:43
71,0.1,0.8,0.84,-50,0:27:49
72,0.1,0.8,0.84,-300,0:27:58
73,0.1,0.8,0.84,2350,0:28:40
74,0.1,0.8,0.84,-2100,0:29:23
75,0.1,0.8,0.83,-950,0:29:48
76,0.1,0.8,0.83,4400,0:30:30
77,0.1,0.8,0.83,-6400,0:31:12
