Episode#,Alpha,Beta,Epsilon,Reward,Time
1,0.1,0.8,0.9,2000,0:00:31
2,0.1,0.8,0.9,-10400,0:01:12
3,0.1,0.8,0.9,-1500,0:01:40
4,0.1,0.8,0.9,-2550,0:02:22
5,0.1,0.8,0.9,-500,0:02:28
6,0.1,0.8,0.89,1950,0:03:01
7,0.1,0.8,0.89,750,0:03:12
8,0.1,0.8,0.89,-1550,0:03:25
9,0.1,0.8,0.89,-1550,0:03:30
10,0.1,0.8,0.89,-250,0:03:39
11,0.1,0.8,0.89,-500,0:03:53
12,0.1,0.8,0.89,-2050,0:04:10
13,0.1,0.8,0.89,-150,0:04:22
14,0.1,0.8,0.89,-1750,0:04:45
15,0.1,0.8,0.89,850,0:04:53
16,0.1,0.8,0.89,800,0:05:03
17,0.1,0.8,0.88,700,0:05:10
18,0.1,0.8,0.88,850,0:05:51
19,0.1,0.8,0.88,2150,0:06:09
20,0.1,0.8,0.88,1050,0:06:24
21,0.1,0.8,0.88,-9150,0:07:05
22,0.1,0.8,0.88,-1300,0:07:40
23,0.1,0.8,0.88,300,0:07:51
24,0.1,0.8,0.88,-950,0:07:54
25,0.1,0.8,0.88,3900,0:08:28
26,0.1,0.8,0.88,200,0:08:38
27,0.1,0.8,0.88,200,0:08:52
28,0.1,0.8,0.88,500,0:09:01
29,0.1,0.8,0.87,-650,0:09:12
30,0.1,0.8,0.87,-350,0:09:53
31,0.1,0.8,0.87,-950,0:09:57
32,0.1,0.8,0.87,-7650,0:10:38
33,0.1,0.8,0.87,-200,0:10:59
34,0.1,0.8,0.87,900,0:11:20
35,0.1,0.8,0.87,550,0:11:28
36,0.1,0.8,0.87,2750,0:11:46
37,0.1,0.8,0.87,100,0:11:53
38,0.1,0.8,0.87,-2450,0:12:16
39,0.1,0.8,0.87,1750,0:12:43
40,0.1,0.8,0.86,4750,0:13:25
41,0.1,0.8,0.86,7000,0:14:06
42,0.1,0.8,0.86,400,0:14:21
43,0.1,0.8,0.86,2750,0:14:59
44,0.1,0.8,0.86,800,0:15:41
45,0.1,0.8,0.86,550,0:15:47
46,0.1,0.8,0.86,400,0:16:05
47,0.1,0.8,0.86,2950,0:16:46
48,0.1,0.8,0.86,3200,0:17:11
49,0.1,0.8,0.86,-6450,0:17:52
50,0.1,0.8,0.86,400,0:18:10
51,0.1,0.8,0.86,700,0:18:25
52,0.1,0.8,0.85,1000,0:18:38
53,0.1,0.8,0.85,2500,0:19:12
54,0.1,0.8,0.85,-350,0:19:53
55,0.1,0.8,0.85,-250,0:20:13
56,0.1,0.8,0.85,100,0:20:23
57,0.1,0.8,0.85,1200,0:20:35
58,0.1,0.8,0.85,800,0:20:49
59,0.1,0.8,0.85,1300,0:21:07
